source,index,qid,cue_type,option_value,condition_text,target_text,raw_text,status,note
paragraph,29,T0_1,show,,T0答(02)顯示此題,此題,T0_1‧請問他/她/您(中選受訪者)有沒有「視力上完全看不到」或「聽力完全聽不到」的狀況?【T0答(02)顯示此題】,candidate,
paragraph,56,CK01,show,,顯示題,題,"CK01接下來,開始填寫戶抽訪問紀錄Y0-Y2,如沒有要填寫,請點擊「中止填寫」按鈕離開此畫面。【顯示題】【不顯示題號】",ignore,"Display-only marker, not a respondent-answer logic rule."
paragraph,56,CK01,show,,不顯示題號,題號,"CK01接下來,開始填寫戶抽訪問紀錄Y0-Y2,如沒有要填寫,請點擊「中止填寫」按鈕離開此畫面。【顯示題】【不顯示題號】",ignore,"Display-only marker, not a respondent-answer logic rule."
paragraph,62,Y0_1,skip,,跳至Y1,Y1,(01)只有一戶【跳至Y1】,candidate,
paragraph,87,Y2,condition,,"若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容",,"ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】",review,
paragraph,112,A2,condition,,"A1答(997)或(998)者,才需回答此題",,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】",review,
paragraph,166,A5,condition,,"A4答(01)、(97)、(98)者,不需回答此題",,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】",review,
paragraph,253,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (01) 是,日間部【A9答(01)者,選項互斥】",review,
paragraph,254,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (02) 是,夜間部/進修部 【A9答(01)者,選項互斥】",review,
paragraph,255,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (03) 是,在職專班【A9答(01)者,選項互斥】",review,
paragraph,256,O1_1,condition,,"A9答(01)者,選項互斥",,"□ (04) 是,空中大學【A9答(01)者,選項互斥】",review,
paragraph,276,O1,condition,,"O1_1答(05)者,選項互斥",,"□ (14)沒有工作:正在就學中【O1_1答(05)者,選項互斥】",review,
paragraph,283,O2,condition,,"O1答(01)-(05)、(88)者,才需回答此題",,"O2‧請問您的行業:(卡4)【O1答(01)-(05)、(88)者,才需回答此題】",review,
paragraph,313,O3,condition,,"O1答(01)-(05)、(88)者,才需回答此題",,"O3‧請問您現在的工作屬於哪一類?(卡5)【O1答(01)-(05)、(88)者,才需回答此題】",review,
paragraph,327,O4,condition,500,"O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題",,"5000、9991、9997、9998】【O1答(01)-(05)、(88)者,且O3答(01)、(03)-(06)、(88),需回答此題】",review,
paragraph,354,D2,condition,,"D1答(01)、(02)者,需回答此題",,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】",review,
paragraph,367,D3,condition,,"D1答(01)、(02)者,需回答此題",,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】",review,
paragraph,382,D4,condition,,"D1答(01)、(02)者,需回答此題",,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】",review,
paragraph,429,E17,condition,,"K1答(01)者,或K2答(13)者,才需回答此題",,"E17‧請問您平常主要是透過手機、平板或電腦使用LINE?【K1答(01)者,或K2答(13)者,才需回答此題】",review,
paragraph,432,E17,condition,,與D1答(03)互斥,,□ (01)手機【與D1答(03)互斥】,review,
paragraph,439,KLI1,condition,,"K1答(01)者,或K2答(13)者,才需回答此題",,"KLI1‧請問您每週平均有幾天使用LINE?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(01)者,或K2答(13)者,才需回答此題】",review,
paragraph,453,KLI2,condition,,"K1答(01)者,或K2答(13)者,才需回答此題",,"KLI2‧在您有使用LINE的那一天,您一整天大概會使用多久(要真的有在用LINE傳訊息、通話、看LINE Today的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(01)者,或K2答(13)者,才需回答此題】",review,
paragraph,468,KFB1,condition,,"K1答(02)者,或K2答(01)者,才需回答此題",,"KFB1‧請問您每週平均有幾天使用臉書(Facebook),包含臉書聊天室(FB Messenger)也算?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(02)者,或K2答(01)者,才需回答此題】",review,
paragraph,482,KFB2,condition,,"K1答(02)者,或K2答(01)者,才需回答此題",,"KFB2‧在您有使用臉書(Facebook),包含臉書聊天室(FB Messenger)的那一天,您一整天大概會使用多久(真的有在用的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(02)者,或K2答(01)者,才需回答此題】",review,
paragraph,496,KFB3,condition,,"K1答(02)者,或K2答(01)者,才需回答此題",,"KFB3‧請問您使用臉書(Facebook)主要的原因或動機是什麼呢?(可多選)(卡9)【K1答(02)者,或K2答(01)者,才需回答此題】",review,
paragraph,499,KFB4,condition,,"K1答(02)者,或K2答(01)者,才需回答此題",,"KFB4‧請問您平常會在臉書(Facebook)上做哪些事情呢?(可多選)(卡10)【K1答(02)者,或K2答(01)者,才需回答此題】",review,
paragraph,517,KFB4,condition,,"資料處理:K1答(02)者,選項(18)必選",,"□ (18)傳送訊息(文字、圖片、語音)或視訊【資料處理:K1答(02)者,選項(18)必選】",review,
paragraph,522,KIG1,condition,,"K1答(03)者,或K2答(02)者,才需回答此題",,"KIG1‧請問您每週平均有幾天使用Instagram(IG)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(03)者,或K2答(02)者,才需回答此題】",review,
paragraph,535,KIG2,condition,,"K1答(03)者,或K2答(02)者,才需回答此題",,"KIG2‧在您有使用Instagram(IG)的那一天,您一整天大概會使用多久(真的有在用Instagram(IG)的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(03)者,或K2答(02)者,才需回答此題】",review,
paragraph,547,KIG3,condition,,"K1答(03)者,或K2答(02)者,才需回答此題",,"KIG3‧請問您使用Instagram(IG)主要的原因或動機是什麼呢?(可多選)(卡11)【K1答(03)者,或K2答(02)者,才需回答此題】",review,
paragraph,569,KIG4,condition,,"K1答(03)者,或K2答(02)者,才需回答此題",,"KIG4‧請問您平常會在Instagram(IG)上做哪些事情呢?(可多選)(卡12)【K1答(03)者,或K2答(02)者,才需回答此題】",review,
paragraph,583,KIG4,condition,,"資料處理:K1答(03)者,選項(14)必選",,"□ (14)傳送訊息(文字、圖片、語音)或視訊【資料處理:K1答(03)者,選項(14)必選】",review,
paragraph,588,KTT1,condition,,"K1答(11)者,或K2答(07)者,才需回答此題",,"KTT1‧請問您每週平均有幾天使用抖音(TikTok)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(11)者,或K2答(07)者,才需回答此題】",review,
paragraph,601,KTT2,condition,,"K1答(11)者,或K2答(07)者,才需回答此題",,"KTT2‧在您有使用抖音(TikTok)的那一天,您一整天大概會使用多久(真的有在用抖音(TikTok)的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(11)者,或K2答(07)者,才需回答此題】",review,
paragraph,614,KTT3,condition,,"K1答(11)者,或K2答(07)者,才需回答此題",,"KTT3‧請問您使用抖音(TikTok)主要的原因或動機是什麼呢?(可多選)(卡13)【K1答(11)者,或K2答(07)者,才需回答此題】",review,
paragraph,635,KTT4,condition,,"K1答(11)者,或K2答(07)者,才需回答此題",,"KTT4‧請問您平常會在抖音(TikTok)上做哪些事情呢?(可多選)(卡14)【K1答(11)者,或K2答(07)者,才需回答此題】",review,
paragraph,654,KTT5,condition,,"K1答(11)者,或K2答(07)者,才需回答此題",,"KTT5‧請問您平常會在抖音(TikTok)上看什麼內容?(可多選)(卡15)【K1答(11)者,或K2答(07)者,才需回答此題】",review,
paragraph,673,P5_1,condition,,"K1答(13)者,或K2答(11)者,才需回答此題",,"【陶振超委員】P5_1‧請問您每週平均有幾天使用Threads?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(13)者,或K2答(11)者,才需回答此題】",review,
paragraph,683,P5_2,condition,,"K1答(13)者,或K2答(11)者,才需回答此題",,"【陶振超委員】P5_2‧在您有使用Threads的那一天,您一整天大概會使用多久(真的有在用Threads的時間)?【數值題,範圍:0001-2359、9797、9898】【K1答(13)者,或K2答(11)者,才需回答此題】",review,
paragraph,718,E18,condition,,"K3答(01)者,才需回答此題",,"E18‧請問您平常主要是透過哪種方式使用YouTube?(卡17)【K3答(01)者,才需回答此題】",review,
paragraph,720,E18,condition,,與D1答(03)互斥,,□ (01)手機【與D1答(03)互斥】,review,
paragraph,723,E18,condition,,開放填答,,"□ (04)智慧型電視/連網電視□ (88)其他,請說明:_________【開放填答】",review,
paragraph,728,KYT1,condition,,"K3答(01)者,才需回答此題",,"KYT1‧請問您每週平均有幾天使用YouTube?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K3答(01)者,才需回答此題】",review,
paragraph,743,KYT2,condition,,"K3答(01)者,才需回答此題",,"KYT2‧在您有使用YouTube的那一天,您一整天大概會使用多久(真的有在用YouTube的時間)?【數值題,範圍:0001-2359、9797、9898】【K3答(01)者,才需回答此題】",review,
paragraph,762,E1,condition,,"K1或K2或K3答(01)-(88)者,只能選填此選項",,"□ (01)有【K1或K2或K3答(01)-(88)者,只能選填此選項】",review,
paragraph,768,E2,condition,,"E1答(01)者,需答此題",,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】",review,
paragraph,768,E2,condition,,"資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選",,"E2‧請問您平常是用哪些設備上網?(可多選)(卡18)【E1答(01)者,需答此題】【資料處理:E17或E18答(01)者,E2選項(01)必選;E17或E18答(02)者,E2選項(02)必選;E17或E18答(03)者,E2選項(03)必選;E18答(04)者,E2選項(04)必選】",review,
paragraph,773,E2,condition,,與D1答(03)互斥,,□ (01)手機【與D1答(03)互斥】,review,
paragraph,776,E2,condition,,開放填答,,"□ (04)智慧型電視/連網電視 □ (88)其他,請說明:_________【開放填答】",review,
paragraph,780,E4,condition,,貼D2答案,,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】",review,
paragraph,780,E4,condition,,貼D2答案,,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】",review,
paragraph,780,E4,condition,,"E2有答(01)或E17答(01)或E18答(01),才需回答此題",,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】",review,
paragraph,784,CKE4,show,,"E4>D2時(D2<=7,E4<=7,E4>D2;D2=95,1<=E4<=7,顯示此題",此題,"CKE4‧【檢查題】【請注意】【E4>D2時(D2<=7,E4<=7,E4>D2;D2=95,1<=E4<=7,顯示此題】",candidate,
paragraph,785,CKE4,condition,,貼E4答案,,"您之前答每週透過手機上網(E4)【貼E4答案】天,超過使用手機的總天數(D2)【貼D2答案】天。",review,
paragraph,785,CKE4,condition,,貼D2答案,,"您之前答每週透過手機上網(E4)【貼E4答案】天,超過使用手機的總天數(D2)【貼D2答案】天。",review,
paragraph,791,E5,condition,,貼D3答案,,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】",review,
paragraph,791,E5,condition,,"E2有答(01)或E17答(01)或E18答(01),需回答此題",,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】",review,
paragraph,791,E5,condition,,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題",,"E5‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】",review,
paragraph,792,E5,condition,,貼O1_1答案,,受訪者的學習狀況:【貼O1_1答案】,review,
paragraph,793,E5,condition,,貼O1答案,,受訪者的工作狀況:【貼O1答案】,review,
paragraph,806,E6,condition,,貼D3答案,,"E6‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),才需答此題】",review,
paragraph,806,E6,condition,,"E2有答(01)或E17答(01)或E18答(01),才需答此題",,"E6‧您先前回答「有使用手機的那一天,大約使用【貼D3答案】」,我們想請教您:【數值題,範圍:0000-2359、9797、9898】【E2有答(01)或E17答(01)或E18答(01),才需答此題】",review,
paragraph,810,E6,condition,,貼O1_1答案,,受訪者的學習狀況:【貼O1_1答案】,review,
paragraph,811,E6,condition,,貼O1答案,,受訪者的工作狀況:【貼O1答案】,review,
paragraph,823,CKE5,condition,,"E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者",,"CKE5 檢查題(顯示題)
【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】",review,
paragraph,823,CKE5,condition,,"E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者",,"CKE5 檢查題(顯示題)
【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】",review,
paragraph,829,E7,condition,,"E2有答(02)或E17答(02)或E18答(02)者,才需回答此題",,"E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(02)或E17答(02)或E18答(02)者,才需回答此題】",review,
paragraph,834,E8,condition,,"E2有答(02)或E17答(02)或E18答(02),需回答此題",,"E8‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】",review,
paragraph,834,E8,condition,,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題",,"E8‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】",review,
paragraph,835,E8,condition,,貼O1_1答案,,受訪者的學習狀況:【貼O1_1答案】,review,
paragraph,836,E8,condition,,貼O1答案,,受訪者的工作狀況:【貼O1答案】,review,
paragraph,850,E9,condition,,"E2有答(02)或E17答(02)或E18答(02),才需答此題",,"E9‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(02)或E17答(02)或E18答(02),才需答此題】",review,
paragraph,851,E9,condition,,貼O1_1答案,,受訪者的學習狀況:【貼O1_1答案】,review,
paragraph,852,E9,condition,,貼O1答案,,受訪者的工作狀況:【貼O1答案】,review,
paragraph,866,CKE8,condition,,"E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者",,"CKE8 檢查題(顯示題)
【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】",review,
