status,row_source,qid,condition_text,condition,required_vars,forbidden_vars,limit,reason,raw_text
review,paragraph:866,CKE8,"E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者",,,,,cannot parse condition atom: E8+E9=0,"CKE8 檢查題(顯示題)
【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】"
apply,paragraph:872,E10,"E2有答(03)或E17答(03)或E18答(03),才需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE10,,,,"E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(03)或E17答(03)或E18答(03),才需回答此題】"
apply,paragraph:885,E11,"E2有答(03)或E17答(03)或E18答(03),需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE11,,,,"E11‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
apply,paragraph:885,E11,"O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題","(vO1_1 in 1,2,3,4,88 | vO1 in 1,2,3,4,5,12,13,14,88)",vE11,,,,"E11‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03),需回答此題】【O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88)者,需回答此題】"
review,paragraph:886,E11,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:887,E11,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
apply,paragraph:902,E12,"E2有答(03)或E17答(03)或E18答(03)者,才需回答此題",(vE2m03 in 1 | vE17 in 3 | vE18 in 3),vE12,,,,"E12‧在您有上網的那一天:【數值題,範圍:0000-2359、9797、9898】【E2有答(03)或E17答(03)或E18答(03)者,才需回答此題】"
review,paragraph:903,E12,貼O1_1答案,,,,,cannot map condition atom: 貼O1_1答案,受訪者的學習狀況:【貼O1_1答案】
review,paragraph:904,E12,貼O1答案,,,,,cannot map condition atom: 貼O1答案,受訪者的工作狀況:【貼O1答案】
review,paragraph:917,CKE11,"E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者",,,,,cannot parse condition atom: E11+E12=0,"CKE11 檢查題(顯示題)
【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】"
review,paragraph:923,E3_1,貼E2答案,,,,,cannot map condition atom: 貼E2答案,"E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過24小時,想請問您原因為何?【E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題】"
review,paragraph:923,E3_1,"E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題",,,,,restriction/check/display cue needs rule-specific handling,"E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過24小時,想請問您原因為何?【E5、E6、E8、E9、E11、E12加總超過2400者(不含任一題答9797、9898),才需回答此題】"
review,paragraph:925,E3_1,貼E5答案,,,,,cannot map condition atom: 貼E5答案,因「工作與課業」使用手機上網:【貼E5答案】、「不是工作或課業」使用手機上網:【貼E6答案】
review,paragraph:925,E3_1,貼E6答案,,,,,cannot map condition atom: 貼E6答案,因「工作與課業」使用手機上網:【貼E5答案】、「不是工作或課業」使用手機上網:【貼E6答案】
review,paragraph:926,E3_1,貼E8答案,,,,,cannot map condition atom: 貼E8答案,因「工作與課業」使用平板上網:【貼E8答案】、「不是工作或課業」使用平板上網:【貼E9答案】
review,paragraph:926,E3_1,貼E9答案,,,,,cannot map condition atom: 貼E9答案,因「工作與課業」使用平板上網:【貼E8答案】、「不是工作或課業」使用平板上網:【貼E9答案】
review,paragraph:927,E3_1,貼E11答案,,,,,cannot map condition atom: 貼E11答案,因「工作與課業」使用電腦上網:【貼E11答案】、「不是工作或課業」使用電腦上網:【貼E12答案】
review,paragraph:927,E3_1,貼E12答案,,,,,cannot map condition atom: 貼E12答案,因「工作與課業」使用電腦上網:【貼E11答案】、「不是工作或課業」使用電腦上網:【貼E12答案】
apply,paragraph:929,E3,"E1答(01)者,需回答此題",vE1 in 1,vE3,,,,"E3‧請問您一天上網的時間是多少?【數值題,範圍:0001-2359、9797、9898】【E1答(01)者,需回答此題】"
review,paragraph:931,E3,貼K1答案,,,,,cannot map condition atom: 貼K1答案,即時通訊軟體:【貼K1答案】
review,paragraph:932,E3,貼K2答案,,,,,cannot map condition atom: 貼K2答案,社群媒體:【貼K2答案】
review,paragraph:933,E3,貼K3答案,,,,,cannot map condition atom: 貼K3答案,網路影音平台:【貼K3答案】
apply,paragraph:945,E13,"E1答(01)者,需回答此題",vE1 in 1,"vE13m01,vE13m02,vE13m03,vE13m04,vE13m05,vE13m06,vE13m88",,,,"E13‧請問您上網的原因或動機是什麼呢(包括用【貼題E2】)?(可多選)(卡19)【E1答(01)者,需回答此題】"
apply,paragraph:947,E14,"E1答(01)者,需回答此題",vE1 in 1,vE14,,,,"E14‧請問您每個月平均在網路上消費(買東西)大概花多少錢?(例如:購物、購買遊戲點數、下載音樂或電影等)【數值題,範圍0-100000,超過最大值則填999991】【E1答(01)者,需回答此題】"
review,paragraph:953,G7,"不顯示選項編號,選項(01)-(12)隨機出現",,,,,restriction/check/display cue needs rule-specific handling,"G7‧請問您經常透過哪一些社群媒體、入口網站及整合新聞網站來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(12)隨機出現】【E1答(01)者,需回答此題】"
apply,paragraph:953,G7,"E1答(01)者,需回答此題",vE1 in 1,"vG7m01,vG7m02,vG7m03,vG7m04,vG7m05,vG7m06,vG7m07,vG7m08,vG7m09,vG7m10,vG7m11,vG7m12,vG7m88,vG7m90",,,,"G7‧請問您經常透過哪一些社群媒體、入口網站及整合新聞網站來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(12)隨機出現】【E1答(01)者,需回答此題】"
review,paragraph:958,G7,與K2答(90)者互斥,vK2m90 in 1,,,,restriction/check/display cue needs rule-specific handling,□ (01)社群媒體(例如:臉書、Threads、X)【與K2答(90)者互斥】
review,paragraph:959,G7,與K1答(90)者互斥,vK1m90 in 1,,,,restriction/check/display cue needs rule-specific handling,□ (02)即時通訊軟體(例如:LINE Today、WeChat微信)【與K1答(90)者互斥】
review,paragraph:976,G8,"不顯示選項編號,選項(01)-(16)隨機出現",,,,,restriction/check/display cue needs rule-specific handling,"G8‧除了電視以外,有些人會透過網站、APP,或YouTube頻道來看電視新聞,那你會透過這些管道來看哪些電視台?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(16)隨機出現】【E1答(01)者,需回答此題】"
apply,paragraph:976,G8,"E1答(01)者,需回答此題",vE1 in 1,"vG8m01,vG8m02,vG8m03,vG8m04,vG8m05,vG8m06,vG8m07,vG8m08,vG8m09,vG8m10,vG8m11,vG8m12,vG8m13,vG8m14,vG8m15,vG8m16,vG8m88,vG8m90",,,,"G8‧除了電視以外,有些人會透過網站、APP,或YouTube頻道來看電視新聞,那你會透過這些管道來看哪些電視台?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(16)隨機出現】【E1答(01)者,需回答此題】"
review,paragraph:1000,G9,"不顯示選項編號,選項(01)-(13)隨機出現",,,,,restriction/check/display cue needs rule-specific handling,"G9‧那請問您經常透過哪一些電子報網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(13)隨機出現】【E1答(01)者,需回答此題】"
apply,paragraph:1000,G9,"E1答(01)者,需回答此題",vE1 in 1,"vG9m01,vG9m02,vG9m03,vG9m04,vG9m05,vG9m06,vG9m07,vG9m08,vG9m09,vG9m10,vG9m11,vG9m12,vG9m13,vG9m88,vG9m90",,,,"G9‧那請問您經常透過哪一些電子報網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(13)隨機出現】【E1答(01)者,需回答此題】"
review,paragraph:1020,G10,"不顯示選項編號,選項(01)-(19)隨機出現",,,,,restriction/check/display cue needs rule-specific handling,"G10‧那請問您經常透過哪一些獨立媒體及通訊社網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(19)隨機出現】【E1答(01)者,需回答此題】"
apply,paragraph:1020,G10,"E1答(01)者,需回答此題",vE1 in 1,"vG10m01,vG10m02,vG10m03,vG10m04,vG10m05,vG10m06,vG10m07,vG10m08,vG10m09,vG10m10,vG10m11,vG10m12,vG10m13,vG10m14,vG10m15,vG10m16,vG10m17,vG10m18,vG10m19,vG10m88,vG10m90",,,,"G10‧那請問您經常透過哪一些獨立媒體及通訊社網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(19)隨機出現】【E1答(01)者,需回答此題】"
review,paragraph:1044,G11,"不顯示選項編號,選項(01)-(05)隨機出現",,,,,restriction/check/display cue needs rule-specific handling,"G11‧那再請問您經常透過哪一些國際媒體的網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(05)隨機出現】【E1答(01)者,需回答此題】"
apply,paragraph:1044,G11,"E1答(01)者,需回答此題",vE1 in 1,"vG11m01,vG11m02,vG11m03,vG11m04,vG11m05,vG11m88,vG11m90",,,,"G11‧那再請問您經常透過哪一些國際媒體的網站,或APP來看網路新聞?(可多選) 【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(05)隨機出現】【E1答(01)者,需回答此題】"
review,paragraph:1056,G4,"G7或G8或G9或G10或G11答(01)-(88)者,需答此題",,,,,cannot parse condition atom: G7,"G4‧請問您每週平均有幾天會上網看新聞?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【G7或G8或G9或G10或G11答(01)-(88)者,需答此題】"
review,paragraph:1072,G5,"G7或G8或G9或G10或G11答(01)-(88)者,需答此題",,,,,cannot parse condition atom: G7,"G5‧在您有上網看新聞的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【G7或G8或G9或G10或G11答(01)-(88)者,需答此題】"
apply,paragraph:1099,B2,"B1答0者,不需回答此題",vB1 in 0,,vB2,,,"B2‧在您有看電視的星期一到星期五,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【B1答0者,不需回答此題】"
apply,paragraph:1123,B4,"B3答0者,不需回答此題",vB3 in 0,,vB4,,,"B4‧請問星期六和星期日有看電視的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【B3答0者,不需回答此題】"
review,paragraph:1140,B5,"B1及B3皆答0者,不需答此題",,,,,"cannot parse condition atom: B1及B3皆答0,不","95、97、98】【B1及B3皆答0者,不需答此題】"
review,paragraph:1153,CKB5,B1+B3+1<B5顯示此題,,,,,restriction/check/display cue needs rule-specific handling,CKB5‧【檢查題】【B1+B3+1<B5顯示此題】
review,paragraph:1154,CKB5,貼B5答案,,,,,cannot map condition atom: 貼B5答案,"受訪者一週當中看【貼B5答案】天的電視新聞(B5),"
review,paragraph:1155,CKB5,貼B1答案,,,,,cannot map condition atom: 貼B1答案,超過星期一到星期五看【貼B1答案】天+星期六和星期日看【貼B3答案】天(B3)電視的總和。
review,paragraph:1155,CKB5,貼B3答案,,,,,cannot map condition atom: 貼B3答案,超過星期一到星期五看【貼B1答案】天+星期六和星期日看【貼B3答案】天(B3)電視的總和。
apply,paragraph:1165,B6,"B5答0者,不需答此題",vB5 in 0,vB6,,,,"B6‧在您有看電視新聞的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【B5答0者,不需答此題】"
apply,paragraph:1180,B7,"B5答0者,不需答此題",vB5 in 0,vB7,,,,"B7a‧請問您經常看哪幾台電視新聞?(可多選)(卡20)【B5答0者,不需答此題】"
review,paragraph:1245,B7,"B7a回答(01)-(88)超過2個選項時顯示,並只能選B7a選填的答案",,,,,restriction/check/display cue needs rule-specific handling,"B7‧那請問您最常看其中的哪一台電視新聞?(卡20)【B7a回答(01)-(88)超過2個選項時顯示,並只能選B7a選填的答案】【B7a只選1個選項,不需回答此題】"
review,paragraph:1245,B7,"B7a只選1個選項,不需回答此題",,,,,cannot parse condition atom: B7a只選1個,"B7‧那請問您最常看其中的哪一台電視新聞?(卡20)【B7a回答(01)-(88)超過2個選項時顯示,並只能選B7a選填的答案】【B7a只選1個選項,不需回答此題】"
review,paragraph:1312,B8,"B1及B3皆答0者,不需答此題",,,,,"cannot parse condition atom: B1及B3皆答0,不","B8‧最近一個月您經常看下列哪幾種類型的電視節目?(可多選)(卡21)【B1及B3皆答0者,不需答此題】"
review,paragraph:1317,B8,"B5答0者,與此選項互斥",vB5 in 0,,,,restriction/check/display cue needs rule-specific handling,"□ (01)新聞類(例如:社會新聞、即時新聞、氣象、體育新聞、國際新聞、政治新聞、交通資訊、專題報導)【B5答0者,與此選項互斥】【資料處理:B5答0.5~7天,選項(01)必選】"
review,paragraph:1317,B8,"資料處理:B5答0.5~7天,選項(01)必選",(vB5>=0.5 & vB5<=7),,,,restriction/check/display cue needs rule-specific handling,"□ (01)新聞類(例如:社會新聞、即時新聞、氣象、體育新聞、國際新聞、政治新聞、交通資訊、專題報導)【B5答0者,與此選項互斥】【資料處理:B5答0.5~7天,選項(01)必選】"
apply,paragraph:1346,I2,"I1答0者,不需回答此題",vI1 in 0,,vI2,,,"I2‧在您有看戲劇節目的星期一到星期五,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【I1答0者,不需回答此題】"
apply,paragraph:1371,I4,"I3答0者,不需回答此題",vI3 in 0,,vI4,,,"I4‧星期六和星期日有看戲劇節目的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【I3答0者,不需回答此題】"
review,paragraph:1381,CKI4,"B8答(03)或(06),且I1與I3皆為0者,需回答此題",,,,,cannot parse condition atom: I1與I3皆為0,"【檢查題】CKI4.請向受訪者說明:【B8答(03)或(06),且I1與I3皆為0者,需回答此題】"
apply,paragraph:1392,G1,"A09答(01)者,不需回答此題",vA9 in 1,,vG1,,,"G1‧請問您每週平均有幾天會看紙本報紙?【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【A09答(01)者,不需回答此題】"
apply,paragraph:1406,G2,"A09答(01)者,或G1答0者,不需回答此題",(vA9 in 1 | vG1 in 0),,vG2,,,"G2‧在您有看紙本報紙的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【A09答(01)者,或G1答0者,不需回答此題】"
apply,paragraph:1419,G3,"A09答(01)者,或G1答0者,不需回答此題",(vA9 in 1 | vG1 in 0),,"vG3m01,vG3m02,vG3m03,vG3m04,vG3m05,vG3m06,vG3m07,vG3m08,vG3m09,vG3m10,vG3m11,vG3m12,vG3m13,vG3m14,vG3m15,vG3m16,vG3m18,vG3m19,vG3m20,vG3m21,vG3m22,vG3m23,vG3m24,vG3m25,vG3m26,vG3m27,vG3m28,vG3m29,vG3m30,vG3m31,vG3m32,vG3m33,vG3m88",,,"G3‧請問您經常看哪幾份紙本報紙?(可多選) (卡22) 【A09答(01)者,或G1答0者,不需回答此題】"
apply,paragraph:1457,F0,"A09答(01)者,不需回答此題",vA9 in 1,,vF0,,,"F0‧請問您每個月是否會看紙本雜誌或網路雜誌?【A09答(01)者,不需回答此題】"
review,paragraph:1462,F0,"E1答(02)、(97)、(98)者,選項互斥","vE1 in 2,97,98",,,,restriction/check/display cue needs rule-specific handling,"□ (02)網路雜誌【E1答(02)、(97)、(98)者,選項互斥】"
review,paragraph:1463,F0,"E1答(02)、(97)、(98)者,選項互斥","vE1 in 2,97,98",,,,restriction/check/display cue needs rule-specific handling,"□ (89)都有看【E1答(02)、(97)、(98)者,選項互斥】"
apply,paragraph:1469,F1,"F0答(01)或(89)者,需答此題","vF0 in 1,89",vF1,,,,"F1‧請問您每個月平均有幾天會看紙本雜誌(網路雜誌不算)?【數值題,可輸入小數點,範圍為0.5、1、1.5、...、30、30.5、31、95、97、98】【F0答(01)或(89)者,需答此題】"
apply,paragraph:1484,F2,"F0答(01)或(89)者,需答此題","vF0 in 1,89",vF2,,,,"F2‧在您有看紙本雜誌(網路雜誌不算)的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【F0答(01)或(89)者,需答此題】"
apply,paragraph:1499,F3,"F0答(02)或(89)者,需答此題","vF0 in 2,89",vF3,,,,"F3‧請問您每個月平均有幾天會在網路上看雜誌?【數值題,可輸入小數點,範圍為0.5、1、1.5、...、30、30.5、31、95、97、98】【F0答(02)或(89)者,需答此題】"
apply,paragraph:1512,F4,"F0答(02)或(89)者,需答此題","vF0 in 2,89",vF4,,,,"F4‧在您有看網路雜誌的那一天,您一整天大概會看多久?【數值題,範圍:0001-2359、9797、9898】【F0答(02)或(89)者,需答此題】"
apply,paragraph:1525,F5,"F0答(90)、(97)、(98)者,不需回答此題","vF0 in 90,97,98",,"vF5m01,vF5m02,vF5m03,vF5m04,vF5m05,vF5m06,vF5m07,vF5m08,vF5m88",,,"F5‧您看雜誌(包含紙本和網路雜誌)時,經常看下列哪幾種內容?(可多選) (卡23) 【F0答(90)、(97)、(98)者,不需回答此題】"
apply,paragraph:1557,C2,"C1答0者,不需回答此題",vC1 in 0,,vC2,,,"C2‧在您有聽廣播的那一天,您一整天大概會聽多久?【數值題,範圍:0001-2359、9797、9898】【C1答0者,不需回答此題】"
apply,paragraph:1570,C3,"C1答0者,不需回答此題",vC1 in 0,,"vC3m01,vC3m02,vC3m03,vC3m04,vC3m05,vC3m06,vC3m07,vC3m08,vC3m09,vC3m10,vC3m11,vC3m88",,,"C3‧您聽廣播時經常聽或經常聽到以下哪幾種類型的節目?(可多選) (卡24)【C1答0者,不需回答此題】"
apply,paragraph:1597,J4_2,"A9答(01)者,不需回答此題",vA9 in 1,,vJ4_2,,,"J4_2‧報紙(紙本)新聞可信度有幾分?_______分  □ (997)不知道□ (998)拒答【A9答(01)者,不需回答此題】"
apply,paragraph:1607,J4_4,"A9答(01)者,不需回答此題",vA9 in 1,,vJ4_4,,,"J4_4‧雜誌(紙本)新聞可信度有幾分?_______分  □ (997)不知道 □ (998)拒答【A9答(01)者,不需回答此題】"
apply,paragraph:1612,J4_5,"E1答(01)者,需回答此題",vE1 in 1,vJ4_5,,,,"J4_5‧網路新聞可信度有幾分?_______分  □ (997)不知道 □ (998)拒答 【E1答(01)者,需回答此題】"
apply,paragraph:1618,JB1,"B5答0者,不需答此題",vB5 in 0,"vJB1m01,vJB1m02,vJB1m03,vJB1m04,vJB1m05,vJB1m06,vJB1m07,vJB1m08,vJB1m09,vJB1m10,vJB1m11,vJB1m88,vJB1m90",,,,"JB1‧請問您認為目前臺灣電視新聞節目有下列哪些不好的地方,需要解決?(可多選)(卡26) 【B5答0者,不需答此題】"
apply,paragraph:1639,JB2,"E1答(01)者,需回答此題",vE1 in 1,"vJB2m01,vJB2m02,vJB2m03,vJB2m04,vJB2m05,vJB2m06,vJB2m07,vJB2m88,vJB2m90",,,,"JB2‧那請問您認為目前台灣網路內容有哪些不好的地方,需要解決?(可多選)(卡27)【E1答(01)者,需回答此題】"
apply,paragraph:1670,H2,"H1答(997)或(998)者,需回答此題","vH1 in 997,998",vH2,,,,"H2‧那比較接近下面哪個答案?【H1答(997)或(998)者,需回答此題】"
apply,paragraph:1681,H3,"H1答0者,或H2答(01)者,不需回答此題",(vH1 in 0 | vH2 in 1),,vH3,,,"H3‧那這些與您「面對面」接觸且認識的人裡面,大概有多少跟您很熟?(卡28)【H1答0者,或H2答(01)者,不需回答此題】"
apply,paragraph:1691,H4,"E1答(01)者,需回答此題",vE1 in 1,vH4,,,,"H4‧請問您平常一天會固定「透過網路」接觸且認識的人有幾位?例如在臉書(Facebook)、LINE、線上遊戲平台互相傳訊息或貼圖,叫得出名字或暱稱才算。【數值題,範圍為0-990、991、997、998】【E1答(01)者,需回答此題】"
apply,paragraph:1703,H5,"H4答(997)或(998)者,才需回答此題","vH4 in 997,998",vH5,,,,"H5‧那比較接近下面哪個答案?【H4答(997)或(998)者,才需回答此題】"
apply,paragraph:1714,H6,"H4答0者,或H5答(01)者,不需回答此題",(vH4 in 0 | vH5 in 1),,vH6,,,"H6‧請問這些「透過網路」接觸且認識的人裡面,大概有多少跟您很熟?(卡28)【H4答0者,或H5答(01)者,不需回答此題】"
review,paragraph:1724,H7,"H1未答0、(997)、(998),且H4未答0、(997)、(998),需答此題",,,,,cannot parse condition atom: H1未答0、(997)、(998),"H7‧您平常一天會固定面對面接觸且認識的人有【貼題H1】人,會透過網路(例如:LINE)接觸且認識的人有【貼題H4】人,請問這兩群人中您會面對面同時也會透過網路接觸且認識的人有幾位?【數值題,範圍為0-990、991、997、998】【H1未答0、(997)、(998),且H4未答0、(997)、(998),需答此題】"
review,paragraph:1733,H7_1,"H1未答0、(997)、(998),且H5未答(01)、(97)、(98)者,需答此題",,,,,cannot parse condition atom: H1未答0、(997)、(998),"H7_1‧您平常一天會固定面對面接觸且認識的人有【貼題H1】人,會透過網路(例如:LINE)接觸且認識的人有【貼題H5】人,請問這兩群人中您會面對面同時也會透過網路接觸且認識的人有幾位?【數值題,範圍為0-990、991、997、998】【H1未答0、(997)、(998),且H5未答(01)、(97)、(98)者,需答此題】"
review,paragraph:1742,H7_2,"H2未答(01)、(97)、(98),且H4未答0、(997)、(998),需答此題",,,,,cannot parse condition atom: H2未答(01)、(97)、(98),"H7_2‧您平常一天會固定面對面接觸且認識的人有【貼題H2】人,會透過網路(例如:LINE)接觸且認識的人有【貼題H4】人,請問這兩群人中您會面對面同時也會透過網路接觸且認識的人有幾位?【數值題,範圍為0-990、991、997、998】【H2未答(01)、(97)、(98),且H4未答0、(997)、(998),需答此題】"
review,paragraph:1752,H7_3,"H2未答(01)、(97)、(98),且H5未答(01)、(97)、(98)者,需答此題",,,,,cannot parse condition atom: H2未答(01)、(97)、(98),"H7_3‧您平常一天會固定面對面接觸且認識的人有【貼題H2】人,會透過網路(例如:LINE)接觸且認識的人有【貼題H5】人,請問這兩群人中您會面對面同時也會透過網路接觸且認識的人有幾位?【數值題,範圍為0-990、991、997、998】【H2未答(01)、(97)、(98),且H5未答(01)、(97)、(98)者,需答此題】"
review,paragraph:1760,CKH7,"H7填答人數超過H1或H4填答人數,顯示並設定顯示時間",,,,,restriction/check/display cue needs rule-specific handling,"CKH7‧檢查題(顯示題)
【H7填答人數超過H1或H4填答人數,顯示並設定顯示時間】"
