row,var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
2,vZA,,manual,no automatic proposal,,,,,,,,,no numeric range found,
3,vZA0,ZA0,manual,no automatic proposal,"1,2",,,,,,,,no numeric range found,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎? (01)戶抽人數正確 (02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】 訪問方式說明:"
4,vZA0_1,,manual,no automatic proposal,"1,2",,,,,,,,no numeric range found,
5,vSF0,SF0,manual,no automatic proposal,1,,,,,,,,no numeric range found,"SF0 這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號) (01)完成說明,開始訪問 A、基本狀況"
6,vA1,A1,mismatch,existing r1-r4 differ from proposal,"1,96",997,998,,997,998,,,option code span including table,"A1‧請問您是民國哪一年出生的?(出生年以身分證上的為主) 訪員注意:若不知道出生年,請依生肖及現在大約幾歲,再由提示卡70生肖表查詢出生年。 民國______年【數值題,範圍1-96】 □ (997)不知道 □ (998)拒答"
7,vA2,A2,range_match_special_diff,r1 matches; r2-r4 differ,"1,12",997,998,97,"1,12",97,98,,option code span including table,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】 □ (01)18歲~19歲 □ (02)20歲~24歲 □ (03)25歲~29歲 □ (04)30歲~34歲 □ (05)35歲~39歲 □ (06)40歲~44歲 □ (07)45歲~49歲 □ (08)50歲~54歲 □ (09)55歲~59歲 □ (10)60歲~64歲 □ (11)65歲~69歲 □ (12)70歲及以上 □ (97)不知道 □ (98)拒答"
8,vA3,A3,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"A3‧請問您在哪一個縣市出生? 訪員注意:若為國外出生,則請在(88)其他欄位中填寫「該國家名稱」。 □ (01)基隆市 □ (02)台北市 □ (03)新北市 □ (04)桃園市 □ (05)新竹縣 □ (06)新竹市 □ (07)苗栗縣 □ (08)南投縣 □ (09)台中市 □ (10)彰化縣 □ (11)雲林縣 □ (12)嘉義縣 □ (13)嘉義市 □ (14)台南市 □ (15)高雄市 □ (16)屏東縣 □ (17)宜蘭縣 □ (18)花蓮縣 □ (19)台東縣 □ (20)澎湖縣 □ (21)金門縣 □ (22)連江縣 □ (88)其他,請說明_________ 【開放欄位】 "
9,vA4,A4,match,,"1,2",97,98,,"1,2",97,98,,option code span including table,A4‧請問您現在的居住地是不是戶籍地呢? □ (01)是 □ (02)否 □ (97)不知道 □ (98)拒答
10,vA5city,A5,match,,"1,29",,,,"1,29",,,,city code rule,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】 □ (01)基隆市___區 □ (02)台北市___區 □ (03)新北市___區 □ (04)桃園市___區 □ (05)新竹市___區 □ (06)新竹縣___市(鄉鎮) □ (07)苗栗縣___市(鄉鎮) □ (08)台中市___區 □ (09)彰化縣___市(鄉鎮) □ (10)南投縣___市(鄉鎮) □ (11)雲林縣___市(鄉鎮) □ (12)嘉義市___區 □ (13)嘉義縣___市(鄉鎮) □ (14)台南市___區 □ (15)高雄市_"
11,vA5town,A5,match,,"100,103,104,105,106,108,110,111,112,114,115,116,200,201,202,203,204,205,206,207,208,209,210,211,212,220,221,222,223,224,226,227,228,231,232,233,234,235,236,237,238,239,241,242,243,244,247,248,249,251,252,253,260,261,262,263,264,265,266,267,268,269,270,272,302,303,304,305,306,307,308,310,311,312,313,314,315,320,324,325,326,327,328,330,333,334,335,336,337,338,350,351,352,353,354,356,357,358,360,361,362,363,364,365,366,367,368,369,400,401,402,403,404,406,407,408,411,412,413,414,420,421,422,423,424,426,427,428,429,432,433,434,435,436,437,438,439,500,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,520,521,522,523,524,525,526,527,528,530,540,541,542,544,545,546,551,552,553,555,556,557,558,602,603,604,605,606,607,608,611,612,613,614,615,616,621,622,623,624,625,630,631,632,633,634,635,636,637,638,640,643,646,647,648,649,651,652,653,654,655,700,701,702,704,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,730,731,732,733,734,735,736,737,741,742,743,744,745,800,801,802,803,804,805,806,807,811,812,813,814,815,820,821,822,823,824,825,826,827,828,829,830,831,832,833,840,842,843,844,845,846,847,848,849,851,852,880,881,882,883,884,885,890,891,892,893,894,896,900,901,902,903,904,905,906,907,908,909,911,912,913,920,921,922,923,924,925,926,927,928,929,931,932,940,941,942,943,944,945,946,947,950,951,952,953,954,955,956,957,958,959,961,962,963,964,965,966,970,971,972,973,974,975,976,977,978,979,981,982,983,3001,3002,3003,6001,6002,9997,9998,9996",,,,"100,103,104,105,106,108,110,111,112,114,115,116,200,201,202,203,204,205,206,207,208,209,210,211,212,220,221,222,223,224,226,227,228,231,232,233,234,235,236,237,238,239,241,242,243,244,247,248,249,251,252,253,260,261,262,263,264,265,266,267,268,269,270,272,302,303,304,305,306,307,308,310,311,312,313,314,315,320,324,325,326,327,328,330,333,334,335,336,337,338,350,351,352,353,354,356,357,358,360,361,362,363,364,365,366,367,368,369,400,401,402,403,404,406,407,408,411,412,413,414,420,421,422,423,424,426,427,428,429,432,433,434,435,436,437,438,439,500,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,520,521,522,523,524,525,526,527,528,530,540,541,542,544,545,546,551,552,553,555,556,557,558,602,603,604,605,606,607,608,611,612,613,614,615,616,621,622,623,624,625,630,631,632,633,634,635,636,637,638,640,643,646,647,648,649,651,652,653,654,655,700,701,702,704,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,730,731,732,733,734,735,736,737,741,742,743,744,745,800,801,802,803,804,805,806,807,811,812,813,814,815,820,821,822,823,824,825,826,827,828,829,830,831,832,833,840,842,843,844,845,846,847,848,849,851,852,880,881,882,883,884,885,890,891,892,893,894,896,900,901,902,903,904,905,906,907,908,909,911,912,913,920,921,922,923,924,925,926,927,928,929,931,932,940,941,942,943,944,945,946,947,950,951,952,953,954,955,956,957,958,959,961,962,963,964,965,966,970,971,972,973,974,975,976,977,978,979,981,982,983,3001,3002,3003,6001,6002,9997,9998,9996",,,,town code list,"A5‧那請問您的戶籍所在地是哪個縣市、哪個鄉鎮市區呢?(以身分證上的為主)【地區題】【A4答(01)、(97)、(98)者,不需回答此題】 □ (01)基隆市___區 □ (02)台北市___區 □ (03)新北市___區 □ (04)桃園市___區 □ (05)新竹市___區 □ (06)新竹縣___市(鄉鎮) □ (07)苗栗縣___市(鄉鎮) □ (08)台中市___區 □ (09)彰化縣___市(鄉鎮) □ (10)南投縣___市(鄉鎮) □ (11)雲林縣___市(鄉鎮) □ (12)嘉義市___區 □ (13)嘉義縣___市(鄉鎮) □ (14)台南市___區 □ (15)高雄市_"
12,vA6,A6,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"A6‧請問您父親是台灣閩南人、台灣客家人、大陸各省市、台灣原住民還是其他人?(卡1) 訪員注意:籍貫以父親的爸爸為主。例如:若父親的爸爸是台灣閩南人、媽媽是台灣客家人,應勾選「(01)台灣閩南(河洛)人」。 □ (01)台灣閩南(河洛)人 □ (02)台灣客家人 □ (03)大陸各省市(戰後來台的人或其後代) □ (04)台灣原住民 □ (05)台灣新住民(經過跨國通婚而移民來台的非大陸籍新住民) □ (06)大陸籍配偶(開放兩岸探親後在台灣生活的配偶) □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
13,vA7,A7,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"A7‧請問您母親是台灣閩南人、台灣客家人、大陸各省市、台灣原住民還是其他人?(卡1) 訪員注意:籍貫以母親的爸爸為主。例如:若母親的爸爸是台灣閩南人、媽媽是台灣客家人,應勾選「(01)台灣閩南(河洛)人」。 □ (01)台灣閩南(河洛)人 □ (02)台灣客家人 □ (03)大陸各省市(戰後來台的人或其後代) □ (04)台灣原住民 □ (05)台灣新住民(經過跨國通婚而移民來台的非大陸籍新住民) □ (06)大陸籍配偶(開放兩岸探親後在台灣生活的配偶) □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
14,vA8,A8,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"A8‧請問您目前的婚姻狀況是什麼?(卡2) □ (01)單身且從沒結過婚 □ (02)已婚且與配偶同住 □ (03)已婚但沒有與配偶同住(因工作或求學暫時分開兩地居住) □ (04)分居(已婚夫妻因感情不睦而分居兩地) □ (05)同居(結婚前、離婚後或配偶去世後,目前與伴侶同居) □ (06)離婚 □ (07)配偶去世 □ (88)其他(例如配偶失蹤數年),請說明______【開放欄位】 □ (97)不知道 □ (98)拒答"
15,vA9,A9,match,,"1,88",97,98,,"1,88",97,98,,option code span including table,"A9‧請問您的教育程度是什麼?包含肄業、就學中。 訪員注意:改制前後的校名不同,請以畢業當時的文憑為主。例如:當初是五專畢業,但現在改制為大學,請勾選「(05)專科」。 □ (01)不識字 □ (02)自修/小學 □ (03)國(初)中/初職 □ (04)高中職(普通科/職業科/士官學校) □ (05)專科(五專/二專/三專/軍警校專修班/軍警校專科班/空中行專/空中商專) □ (06)大學(空大/軍警官校/軍警官大學/技術學院/科技大學/大學) □ (07)碩士 □ (08)博士 □ (88)其他,請說明______【開放欄位】 □ (97)不知道 □ (98)拒答 O、工作狀況篇"
16,vO1_1,,manual,no automatic proposal,"1,88",97,98,,,,,,no numeric range found,
17,vO1,,manual,no automatic proposal,,,,,,,,,no numeric range found,
18,vO2,,manual,no automatic proposal,,,,,,,,,no numeric range found,
19,vO3,,manual,no automatic proposal,,,,,,,,,no numeric range found,
20,vO4,,manual,no automatic proposal,,,,,,,,,no numeric range found,
21,vD1,D1,match,,"1,3",97,98,,"1,3",97,98,,option code span including table,"D1‧請問您平常有沒有在使用手機?不論是自己的手機或其他人的手機都算。 訪員注意: 1.包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為。 2.這裡有「使用手機」是說眼睛必需看著手機螢幕,但在講電話時看不看螢幕都算。 3.不論傳統型或智慧型手機都算。 □ (01)有,主要使用自己的手機(門號名字是別人的也算) □ (02)有,主要使用父母、朋友等其他人的手機 □ (03)沒有 □ (97)不知道 □ (98)拒答"
22,vD2,D2,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只使用1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
23,vD3,D3,match,,"1,2359",9797,9898,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 * 包含上網(用LINE、看網路影片等)和非上網(傳簡訊、照相、看相簿照片等)行為的時間總合。 * 請以發生頻率較高(天數較多)來回答一整天使用時間,不是填用最長的時間。例如星期一到星期四 都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,請填入「0300」。 訪員注意: 1.本題為數值題,請填入4位數,例如2小時30分,請填入「0230」。"
24,vD4sD4,D4,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做"
25,vD4sD5,D5,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做"
26,vD4sD6,D6,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做"
27,vD4sD7,D7,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做"
28,vD4sD8,D8,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,2359",9797,9898,,explicit numeric range,"D3‧在您有使用手機的那一天,您一整天大概會使用多久?使用手機是指「講電話」或「眼睛有看著手機螢幕」,例如使用LINE、看影片或照片等都算。【數值題,範圍:0001-2359、9797、9898】【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做"
29,vK1m01,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
30,vK1m02,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
31,vK1m03,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
32,vK1m04,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
33,vK1m05,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
34,vK1m06,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
35,vK1m07,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
36,vK1m08,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
37,vK1m09,K1,match,,"0,1",,,,"0,1",,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
38,vK1m10,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
39,vK1m11,K1,match,,"0,1",96,,,"0,1",96,,,multiple-response binary,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明____"
