var,qid,status,reason,existing_r1,existing_r2,existing_r3,existing_r4,proposed_r1,proposed_r2,proposed_r3,proposed_r4,source,question_excerpt
vA1,A1,mismatch,existing r1-r4 differ from proposal,"1,96",997,998,,997,998,,,option code span including table,"A1‧請問您是民國哪一年出生的?(出生年以身分證上的為主) 訪員注意:若不知道出生年,請依生肖及現在大約幾歲,再由提示卡70生肖表查詢出生年。 民國______年【數值題,範圍1-96】 □ (997)不知道 □ (998)拒答"
vA2,A2,range_match_special_diff,r1 matches; r2-r4 differ,"1,12",997,998,97,"1,12",97,98,997,option code span including table,"A2‧請問您今年大概幾歲?【A1答(997)或(998)者,才需回答此題】 □ (01)18歲~19歲 □ (02)20歲~24歲 □ (03)25歲~29歲 □ (04)30歲~34歲 □ (05)35歲~39歲 □ (06)40歲~44歲 □ (07)45歲~49歲 □ (08)50歲~54歲 □ (09)55歲~59歲 □ (10)60歲~64歲 □ (11)65歲~69歲 □ (12)70歲及以上 □ (97)不知道 □ (98)拒答"
vD2,D2,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"D2‧請問您每週平均有幾天會使用手機?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【D1答(01)、(02)者,需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只使用1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
vD4sD4,D4,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
vD4sD5,D5,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
vD4sD6,D6,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
vD4sD7,D7,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
vD4sD8,D8,mismatch,existing r1-r4 differ from proposal,"1,2",,,,"1,4",97,98,,option code span including table,"D4-D8.請問下面這些事情多常發生在您身上?(卡6)【D1答(01)、(02)者,需回答此題】 從來沒有 很少 有時 經常 (97) | 不知道 (98) | 拒答 D4 您多常不知不覺又開始滑手機 1□ 2□ 3□ 4□ □ □ D5 您多常使用完手機後沒多久,又發現自己開始滑手機 1□ 2□ 3□ 4□ □ □ D6 您多常在沒有辦法使用手機時,會很想使用手機 1□ 2□ 3□ 4□ □ □ D7 您多常因為使用手機而耽誤工作、課業或手邊正在做的事情 1□ 2□ 3□ 4□ □ □ D8 您多常覺得自己應該少用手機 1□ 2□ 3□ 4□ □ □"
vKLI1,KLI1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KLI1‧請問您每週平均有幾天使用LINE?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(01)者,或K2答(13)者,才需回答此題】 * 用LINE包含與親友傳訊息、通話、看LINE today新聞、用LINE購物等。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 □ (97)不知道 □ (98)拒答"
vKFB1,KFB1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KFB1‧請問您每週平均有幾天使用臉書(Facebook),包含臉書聊天室(FB Messenger)也算?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(02)者,或K2答(01)者,才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 □ (97)不知道 □ (98)拒答"
vKIG1,KIG1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KIG1‧請問您每週平均有幾天使用Instagram(IG)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(03)者,或K2答(02)者,才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 □ (97)不知道 □ (98)拒答"
vKTT1,KTT1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KTT1‧請問您每週平均有幾天使用抖音(TikTok)?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K1答(11)者,或K2答(07)者,才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 □ (97)不知道 □ (98)拒答"
vKYT1,KYT1,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"KYT1‧請問您每週平均有幾天使用YouTube?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【K3答(01)者,才需回答此題】 * YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 * 若沒有固定使用YouTube(例如:看到喜歡、有興趣的影片才會看),請受訪者回想「最近一週」使用YouTube的天數。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ____"
vE1,E1,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,"1,2",97,98,,option code span including table,"E1‧接下來將詢問關於您最近一個月每週「上網」情況的題目。請問您最近一個月有沒有在使用網路,例如:用LINE、滑臉書(Facebook)、看YouTube等?(卡7、8、16) 訪員注意: 在K1、K2、K3表示有使用即時通訊軟體、社群媒體,或影音平台的受訪者,在本題就是代表有用網路,請訪員讀題確認後,即可直接「選填(01)有」選項。 「上網」是指用電腦、平板或手機連上網路,例如:用LINE、Facebook、用YouTube看影片、瀏覽新聞、查資料、玩線上遊戲等。 □ (01)有【K1或K2或K3答(01)-(88)者,只能選填此選項】 □ (02)沒有□ (97)不知道 □ (98)拒答"
vE4,E4,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E4‧您先前回答「每週平均有【貼D2答案】天會使用手機」,請問【貼D2答案】天中,平均有幾天會透過手機上網,例如:用LINE、滑臉書(Facebook)、看YouTube,只算有用手機上網的天數?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(01)或E17答(01)或E18答(01),才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □"
vE5,E5,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E5‧請問您因工作或課業所需利用手機上網的時間大概有多久?只算您上網時眼睛有在看螢幕的時間。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用手機,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 ____________(時分4碼) □ (9797)不知道 □ (9898)拒答"
vE6,E6,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E6‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的手機上網時間大概有多久?只算您上網時眼睛有在看螢幕的時間。 受訪者的學習狀況:【貼O1_1答案】 受訪者的工作狀況:【貼O1答案】 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需使用手機,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 ____________(時分4碼) □ (9797)不知道 □ (9898)拒答"
vCKE5,CKE5,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE5 檢查題(顯示題) 【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】 您之前答會透過手機上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)上網的時間加總不應為0時0分,請回到E5、E6重新確認時數。 (01)請重新確認E5、E6題時數 【互斥無法點選,選項號隱藏】"
vE7,E7,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(02)或E17答(02)或E18答(02)者,才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用不到0.5天 | □ (98)拒答 | □ (97)不知道"
vE8,E8,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E8‧請問因工作或課業所需利用平板上網的時間大概有多久?只算您「眼睛有看著平板螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用平板,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 __________"
vE9,E9,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E9‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的平板上網時間大概有多久?只算您「眼睛有看著平板螢幕」的時間? * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需而使用平板,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入"
vCKE8,CKE8,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE8 檢查題(顯示題) 【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】 您之前答會透過平板上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)平板上網的時間加總不應為0時0分,請回到E8、E9重新確認時數。 (01)請重新確認E8、E9題時數 【互斥無法點選,選項號隱藏】"
vE10,E10,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【E2有答(03)或E17答(03)或E18答(03),才需回答此題】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只用電腦上網1天)或每週平均用不到0.5天,請填入「95」。 ________天 □ (95)每週平均用電腦上網不到0.5天 □ (97)不知道 □ (98)拒答"
vE11,E11,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E11‧請問您因工作或課業所需利用電腦上網的時間大概有多久?只算您「眼睛有在看螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會因工作或課業所需而使用電腦,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請填入「9898」。 __________"
vE12,E12,mismatch,existing r1-r4 differ from proposal,"0,2359",9797,9898,,9797,9898,,,option code span including table,"E12‧請問您不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)的電腦上網時間大概有多久?只算您「上網時眼睛有在看螢幕」的時間。 * 請以發生頻率較高(天數較多)來回答一整天看的時間,不是填看最長的時間。例如星期一到星期四都是3小時,星期五到星期日都是6小時,則頻率較高為星期一到星期四,答案填入「0300」。 訪員注意: 1.若為區間請取「中間值」,例如:2~3小時,請填入「0230」。 2.若2個小時多一點,請填入「0215」;2小時多接近3小時,請填入「0245」。 3.若受訪者表示並不會在非因工作或課業所需而使用電腦,請填入「0000」。 4.若受訪者表示不知道請填入「9797」,拒答請"
vCKE11,CKE11,mismatch,existing r1-r4 differ from proposal,"1,88",97,98,,97,98,,,option code span including table,"CKE11 檢查題(顯示題) 【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】 您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。 (01)請重新確認E11、E12題時數 【互斥無法點"
vE14,E14,mismatch,existing r1-r4 differ from proposal,"0,100000",999991,999997,999998,999991,999997,999998,,option code span including table,"E14‧請問您每個月平均在網路上消費(買東西)大概花多少錢?(例如:購物、購買遊戲點數、下載音樂或電影等)【數值題,範圍0-100000,超過最大值則填999991】【E1答(01)者,需回答此題】 訪員注意: 1.若算不出來,請回想最近一個月的網路消費情形,請別人在網路上買東西不算。 2.若每個月消費的價格不一定(有時幾百塊、有時幾千塊),則以平均計算;如受訪者表示沒有在網路上消費,請鍵入「0」;超過10萬元請鍵入「999991」。 _____元 □ (999991)超過10萬元 □ (999997)不知道□ (999998)拒答 G、傳播行為(網路新聞篇)"
vG4,G4,mismatch,existing r1-r4 differ from proposal,"0.5,7",95,97,98,95,97,98,,option code span including table,"G4‧請問您每週平均有幾天會上網看新聞?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5.5、6、6.5、7、95、97、98】【G7或G8或G9或G10或G11答(01)-(88)者,需答此題】 *「網路新聞」是指將新聞內容放上網路,不論是文字或影音都算。 (1)文字:包括新聞網站(例:東森新聞網)、手機app(例如:整合網路新聞app、臉書及LINE上的新聞)。 (2)影音:包括上傳在YouTube上非直播的電視新聞。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.答案無法填答時(例如:一個月只看"
vB1,B1,mismatch,existing r1-r4 differ from proposal,"0,5",95,97,98,95,97,98,,option code span including table,"B1‧請問您每星期的星期一到星期五,平均有幾天會看電視?用網路方式「同步收看」電視頻道的節目也算。【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、95、97、98】 *「看電視」必須真的在看或在聽才算有看。如果只是開著沒在注意,不算有看。 *「同步收看」是指收看的節目無法讓您暫停、快轉、倒退,也無法自己任意選擇想看的片段。 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:3~4天,請填入「3.5」天。 2.如果受訪者星期一到星期五都沒有看電視,請填「0」;如果平均看不到0.5天,請填入「95」。 ________天 □ (95)平均不到"
vB3,B3,mismatch,existing r1-r4 differ from proposal,"0,2",95,97,98,95,97,98,,option code span including table,"B3‧請問星期六和星期日兩天,您大概有幾天會看電視?用網路方式「同步收看」電視頻道的節目也算。【數值題,可輸入小數點,範圍為0、0.5、1、1.5、2、95、97、98】 訪員注意: 1.本題為數值題,若為區間請取「中間值」,例如:1~2天,請填入「1.5」天。 2.如果受訪者星期六和星期日都沒有看電視,請填「0」;如果平均看不到0.5天,請填入「95」。 ________天 □ (95)平均不到0.5天 □ (97)不知道 □ (98)拒答"
