var,qid,qvar,option_value,is_multi,confidence,source,status,mismatch_reason,note,matched_existing_var,question_excerpt
vT1o03,T1,vT1,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"T1 戶抽協助者跟中選受訪者的關係(01)本人(02)家人(03)其他關係,請說明:______________________(97)不知道(98)拒答"
vY1o05,Y1,vY1,05,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o01,Y1,vY1,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o02,Y1,vY1,02,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vY1o03,Y1,vY1,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Y1 請問戶中抽樣是在哪裡進行的?(01)中選地址的家戶門口/陽台(02)中選地址的室內(03)大樓/社區的公共場所(含警衛室、一樓大廳等)(04)商店(超商、咖啡店、速食店等)(05)其他,請說明:______________________Y2您覺得戶抽協助者提供資訊的可信度為何?(01)不可信,請說明:___________(02)有些不可信,請說明:___________(03)普通(04)還算可信(05)可信【結束語】已完成本案戶抽詢問題與戶抽訪問紀錄訪問問卷開始:【開頭語】(顯示題)ZA【若受訪者已聽過前述說明,以下無須重複唸讀,請直接勾選訪函提供狀況;如不確定,請唸讀以下內容】中央研究院正在進行傳播資料庫的面訪調查,想瞭解一般民眾使用不同媒體平台的情形,以及對媒體內容與政治傳播的看法。完成訪問後,"
vZA0_1o88,ZA0_1,vZA0_1,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o29,ZA0_1,vZA0_1,29,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o02,ZA0_1,vZA0_1,02,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o13,ZA0_1,vZA0_1,13,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o01,ZA0_1,vZA0_1,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1oig,ZA0_1,vZA0_1,IG,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o07,ZA0_1,vZA0_1,07,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vZA0_1o11,ZA0_1,vZA0_1,11,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"ZA0_1 想跟您確定一下我的戶中抽樣結果是不是正確的? 請問家中具有本國國籍,年滿18歲以上(民國96年12月底以前出生者),且最近三個月內住在【貼題:中選地址】這個地址「一星期有四天以上」的人,總共有合格(Y)/男性合格(Z)/中選(X)【貼題:戶中抽樣結果】,請問這位是您嗎?(01)戶抽人數正確(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】訪問方式說明:SF0這次訪問是採用一問一答的方式,訪問包含八成的傳播媒體使用,與兩成的政治傳播題目,題目都是選擇題,我們會將題目仔細唸給您聽,您再告訴我們您覺得最合適的答案是哪一項。(不顯示選項編號)(01)完成說明,開始訪問A、基本狀況A1‧請問您是民國哪一年出生的?(出生年以"
vCKE5o02,CKE5,vCKE5,02,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE5 檢查題(顯示題)【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】您之前答會透過手機上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)上網的時間加總不應為0時0分,請回到E5、E6重新確認時數。(01)請重新確認E5、E6題時數 【互斥無法點選,選項號隱藏】E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5."
vCKE5o88,CKE5,vCKE5,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE5 檢查題(顯示題)【請注意】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E5+E6=0者】【E2有答(01)或E17答(01)或E18答(01),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E6=0者】您之前答會透過手機上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)上網的時間加總不應為0時0分,請回到E5、E6重新確認時數。(01)請重新確認E5、E6題時數 【互斥無法點選,選項號隱藏】E7‧請問您每週平均有幾天會透過平板上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4.5、5、5."
vCKE8o03,CKE8,vCKE8,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE8 檢查題(顯示題)【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】您之前答會透過平板上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)平板上網的時間加總不應為0時0分,請回到E8、E9重新確認時數。(01)請重新確認E8、E9題時數 【互斥無法點選,選項號隱藏】E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4."
vCKE8o88,CKE8,vCKE8,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE8 檢查題(顯示題)【請注意】【E2有答(02)或E17答(02)或E18答(02),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E8+E9=0者;或2. E2有答(02)或E17答(02)或E18答(02),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E9=0者】您之前答會透過平板上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)平板上網的時間加總不應為0時0分,請回到E8、E9重新確認時數。(01)請重新確認E8、E9題時數 【互斥無法點選,選項號隱藏】E10‧請問您每週平均有幾天會透過電腦上網?【數值題,可輸入小數點,範圍為0.5、1、1.5、2、2.5、3、3.5、4、4."
vCKE11o01,CKE11,vCKE11,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE11 檢查題(顯示題)【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。(01)請重新確認E11、E12題時數 【互斥無法點選,選項號隱藏】E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過2"
vCKE11o88,CKE11,vCKE11,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE11 檢查題(顯示題)【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。(01)請重新確認E11、E12題時數 【互斥無法點選,選項號隱藏】E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過2"
vCKE11o2,CKE11,vCKE11,2,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE11 檢查題(顯示題)【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。(01)請重新確認E11、E12題時數 【互斥無法點選,選項號隱藏】E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過2"
vCKE11o98,CKE11,vCKE11,98,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE11 檢查題(顯示題)【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。(01)請重新確認E11、E12題時數 【互斥無法點選,選項號隱藏】E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過2"
vCKE11o89,CKE11,vCKE11,89,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"CKE11 檢查題(顯示題)【請注意】【E2有答(03)或E17答(03)或E18答(03),且O1_1答(01)~(04)、(88),或O1答(01)~(05)、(12)、(13)、(14)、(88),且E11+E12=0者;或2. E2有答(03)或E17答(03)或E18答(03),且O1_1答(05)、(97)、(98),或O1答(06)~(11),且E12=0者】您之前答會透過電腦上網,每星期因工作或課業所需和不是因工作或課業所需(例如:休閒娛樂、跟朋友連絡)電腦上網的時間加總不應為0時0分,請回到E11、E12重新確認時數。(01)請重新確認E11、E12題時數 【互斥無法點選,選項號隱藏】E3_1‧檢查題(開放題)您剛回答使用【貼E2答案】因「工作與課業」或「不是工作或課業所需」的上網總時間超過2"
vQ24o01,Q24,vQ24,01,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q24 請問您每星期大約會看幾個小時的「談話性政論節目」(不論是從電視或YouTube上觀看都算)?【Q20答(01)者,需回答此題】【數值題,小時範圍:0-140、997、998;分鐘範圍:0-59、97、98】訪員注意:本題為數值題,例如100小時30分,請填入「100小時30分」。2.若為區間請取「中間值」,例如:2~3小時,請填入「2小時30分」。3.若2個小時多一點,請填入「2小時15分」;2小時多接近3小時,請填入「2小時45分」。【受訪者在每星期會看】______小時(不知道請填997、拒答請填998)______分鐘(不知道請填97、拒答請填98)"
v94o88,94,v94,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"94 要客訴□(28)頭條開講(周玉琴)*【E1答(02)者選項互斥】□(07)環球大戰線□(18) 狠狠抖內幕□(29)國際直球對決(林嘉源)*【E1答(02)者選項互斥】□(08)突發琪想(安幼琪)□(19)新聞大白話(錢怡君、翟翾)□(30)前進戰略高地(許甫)*【E1答(02)者選項互斥】□(09)辣晚報□(20) 全球大視野□(31)週末大爆卦(李珮瑄)*【E1答(02)者選項互斥】□(10)驚爆新聞線(呂惠敏)□(21) 關我什麼事□(88)其他,請說明__ □(11)台灣最前線(許仲江)□(22) 民間特偵組□(97)不知道 □(98)拒答"
vQ21o03,Q21,vQ21,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q21 請問您每星期大約會看幾個小時的「政治人物或政治網紅影片」(不論是從YouTube、臉書、IG都算,包括直播與直播結束後的留存影片)?【Q20答(02)或(03)者,需回答此題】【數值題,小時範圍:0-140、997、998;分鐘範圍:0-59、97、98】訪員注意:本題為數值題,例如100小時30分,請填入「100小時30分」。2.若為區間請取「中間值」,例如:2~3小時,請填入「2小時30分」。3.若2個小時多一點,請填入「2小時15分」;2小時多接近3小時,請填入「2小時45分」。【受訪者在每星期會看】______小時(不知道請填997、拒答請填998)______分鐘(不知道請填97、拒答請填98)政治網紅定義:以政治及時事評論為主題,透過臉書、IG、YouTube等平台分享自製內容、並累積相當粉"
vQ22o88,Q22,vQ22m88,88,1,high,option text requires explanation,match,,,vQ22o88,"Q22 在以下經常談論政治或公共事務的政治人物中,請問您最常觀看誰的影片或貼文?(是指透過政治人物YouTube頻道、臉書粉專、IG帳號上的貼文、直播和預錄影片)(可多選) 【Q20答(02)者,需回答此題】(卡44)□(01) 傅崐萁□(11) 林佳龍□(21) 顧立雄□(31) 陳亭妃□(02) 王世堅□(12) 洪孟楷□(22) 吳思瑤□(32) 蔡英文□(03) 郝龍斌□(13) 柯志恩□(23) 陳其邁□(33) 蔣萬安□(04) 王鴻薇□(14) 侯友宜□(24) 王義川□(34) 賴瑞隆□(05) 朱立倫□(15) 柯文哲□(25) 陳時中□(35) 鄭麗文□(06) 卓榮泰□(16) 蔡正元□(26) 邱議瑩□(36) 盧秀燕□(07) 徐榛蔚□(17) 徐巧芯□(27) 徐國勇□(37) 賴清"
vQ26Ao04,Q26A,vQ26A,04,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q26A請問您每星期大約會聽幾個小時和「政治或公共事務」有關的播客(Podcast)?【Q20答(04)者,需回答此題】【數值題,小時範圍:0-140、997、998;分鐘範圍:0-59、97、98】訪員注意:本題為數值題,例如100小時30分,請填入「100小時30分」。2.若為區間請取「中間值」,例如:2~3小時,請填入「2小時30分」。3.若2個小時多一點,請填入「2小時15分」;2小時多接近3小時,請填入「2小時45分」。【受訪者在每星期會聽】______小時(不知道請填997、拒答請填998)______分鐘(不知道請填97、拒答請填98)CKQ26A檢查題(顯示題)【Q26A填答0時0分顯示並設定顯示時間】【請注意】您之前答會聽播客(Podcast)獲得政治或公共事務相關訊息,每星期聽的時間不應為0"
v5o88,5,v5,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,5 Mins 留學忙什麼?□(02) 聽天下:天下雜誌Podcast□(18) 氣候戰役在台灣□(03)法客電台 BY 法律白話文運動 Plain Law Movement□(19) 台灣國際報□(04) 敏迪選讀□(20) 中東新聞□(05) 轉角國際新聞Daily Podcast□(21) 春風華語.聚焦台灣□(06) 全球串連早安新聞|Morning Taiwan Glocal News□(22) 楊式頭殼YANG's TALK□(07) 《The Real Story》By 報導者□(23) 全球大頭條□(08) 國際大事收藏版□(24) 社會線上□(09) 斐姨所思□(25) 鏡爆點□(10) 寶島少年兄□(26) 好好評新聞──公評人來了!□(11) 中廣流行網□(27) 全球聊天室□(12) 仁愛
vQ27o88,Q27,vQ27m88,88,1,high,option text requires explanation,match,,,vQ27o88,"Q27請問您想要獲得政治或公共事務相關訊息的原因是什麼?(可多選)(卡47)【Q1、Q2、Q3、Q4答(01),且Q5、Q10、Q15答(02),且Q20回答(90)者,不需回答此題】□(01)想要了解國內外大事□(02)這是一個公民應該做的事□(03)想了解不同的觀點□(04)習慣□(05)想看到更多跟您立場相同的觀點□(06)想要有話題與親朋好友聊□(07)想要知道大家對於當下議題的看法□(88)其他,請說明_____□(97)不知道□(98)拒答【譚躍委員】P3_4‧您多常在網路上看到或聽到和您立場不同的政治觀點?【E1答(01)者,需答此題】(卡48)□(01) 從來沒有□(02) 很少□(03) 有時□(04) 經常□(97) 不知道□(98) 拒答【檢查題】CKP3_4.請向受訪者說明:【Q5答(0"
vQ34o88,Q34,vQ34,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q34請問您對戶籍地縣(市)首長擔任縣(市)長期間的整體表現滿不滿意?提示說明:如受訪者不清楚地方首長,請訪員確認受訪者戶籍地在哪,並出示提示卡69,與受訪者說明所在戶籍地的縣市首長是誰。1□2□3□4□5□□□Q58‧那請問您同不同意以下的說法?(卡53)非常不同意不同意普通同意非常同意(97)不知道(98)拒答Q58我們一般民眾對政府的作為,沒有任何影響力1□2□3□4□5□□□Q59政府官員不會在乎我們一般民眾的想法1□2□3□4□5□□□Q60政治有時候太複雜了,所以我們一般民眾實在搞不懂1□2□3□4□5□□□Q61我對台灣目前重要的政治議題有相當不錯的理解1□2□3□4□5□□□Q46. 整體來說,請問您對政治的事情,感不感興趣?(卡54)□(01)非常不感興趣□(02)有點不感興趣□(03)普通□"
vQ51o88,Q51,vQ51,88,0,high,option text requires explanation,match,,,vQ51o88,"Q51請問是哪一個政黨?(卡61) 【Q49答(01),或Q50答(01),需答此題】訪員備註:如果支持特定政治人物或泛藍、泛綠,請在(88)其他輸入答案。□(01)國民黨□(06)時代力量□(11)小民參政歐巴桑聯盟□(02)民進黨□(07)台灣基進□(88)其他政黨,請說明___□(03)新黨□(08)台灣民眾黨□(97)不知道□(04)親民黨□(09)社會民主黨□(98)拒答□(05)綠黨□(10)台灣團結聯盟"
vQ52o88,Q52,vQ52,88,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q52請問,您偏向【貼題Q51】這個政黨的程度是很強,普通,還是有一點?【Q51答(01) ~ (88),需答此題】□(01) 很強□(94) 看情形□(02) 普通□(95) 無意見□(03) 有一點□(97) 不知道□(98) 拒答Q53國內對於台灣前途(統獨)問題有很多爭論,有人認為未來「台灣獨立」比較好;也有些人認為未來「兩岸統一」比較好;也有人認為「兩岸維持現狀」(也就是不統不獨)比較好。請問您比較偏向哪一種?(卡62)□(01)儘快統一□(02)儘快宣佈獨立□(03)維持現狀,以後走向統一□(04)維持現狀,以後走向獨立□(05)維持現狀,看情形再決定獨立或統一□(06)永遠維持現狀□(88)其他,請說明_____□(93)很難說□(95)無意見□(97)不知道□(98)拒答【譚躍委員】P3_1‧如"
vQ52o98,Q52,vQ52,98,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q52請問,您偏向【貼題Q51】這個政黨的程度是很強,普通,還是有一點?【Q51答(01) ~ (88),需答此題】□(01) 很強□(94) 看情形□(02) 普通□(95) 無意見□(03) 有一點□(97) 不知道□(98) 拒答Q53國內對於台灣前途(統獨)問題有很多爭論,有人認為未來「台灣獨立」比較好;也有些人認為未來「兩岸統一」比較好;也有人認為「兩岸維持現狀」(也就是不統不獨)比較好。請問您比較偏向哪一種?(卡62)□(01)儘快統一□(02)儘快宣佈獨立□(03)維持現狀,以後走向統一□(04)維持現狀,以後走向獨立□(05)維持現狀,看情形再決定獨立或統一□(06)永遠維持現狀□(88)其他,請說明_____□(93)很難說□(95)無意見□(97)不知道□(98)拒答【譚躍委員】P3_1‧如"
vQ52o03,Q52,vQ52,03,0,high,option text requires explanation,extra_proposed,Word suggests an open field not listed in Excel,,,"Q52請問,您偏向【貼題Q51】這個政黨的程度是很強,普通,還是有一點?【Q51答(01) ~ (88),需答此題】□(01) 很強□(94) 看情形□(02) 普通□(95) 無意見□(03) 有一點□(97) 不知道□(98) 拒答Q53國內對於台灣前途(統獨)問題有很多爭論,有人認為未來「台灣獨立」比較好;也有些人認為未來「兩岸統一」比較好;也有人認為「兩岸維持現狀」(也就是不統不獨)比較好。請問您比較偏向哪一種?(卡62)□(01)儘快統一□(02)儘快宣佈獨立□(03)維持現狀,以後走向統一□(04)維持現狀,以後走向獨立□(05)維持現狀,看情形再決定獨立或統一□(06)永遠維持現狀□(88)其他,請說明_____□(93)很難說□(95)無意見□(97)不知道□(98)拒答【譚躍委員】P3_1‧如"
