group,qid,status,reason,var_count,doc_codes,var_codes,missing_in_doc,extra_in_doc,width,start_code,end_code,option_count,unavailable_count,no_response_all,mutex_code,loop_count,no_response_1,no_response_2,no_response_3,no_response_4,no_response_5,excerpt
vB7a,B7A,match,,55,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,88",,,2,1,88,55,2,"97,98",,54,97,98,,,,"B7a‧請問您經常看哪幾台電視新聞?(可多選)(卡20)【B5答0者,不需答此題】 訪員注意:同色選項表示該電視台有系列頻道,請再確認是哪一台,例如:答「TVBS」,請辨別是TVBS新聞台還是TVBS。 □ (01)TVBS新聞台(55台,24小時新聞台) □ (02)TVBS(56台) □ (03)三立新聞台(24小時新聞台) □ (04)三立台灣台 □ (05)三立財經台 (iNEWS) □ (06)八大第一台 □ (07)中視新聞台(24小時新聞台) □ (08)中視 □ (09)中視菁采台 □ (10)中視經典台 □ (11)公視 □ (12)公視3台 □ (13)公視台語台 □ (14)台視新聞台(24小時新聞台) □ (15)台視 □ (16)台視財經台 □ (17)民視新聞台("
vB8,B8,match,,11,"1,2,3,4,5,6,7,8,9,10,88,97,98","1,2,3,4,5,6,7,8,9,10,88",,,2,1,88,11,2,"97,98",,10,97,98,,,,"B8‧最近一個月您經常看下列哪幾種類型的電視節目?(可多選)(卡21)【B1及B3皆答0者,不需答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有看特定電視節目但不知道要選哪類,則請在(88)其他欄位中填寫「該節目名稱」。 □ (01)新聞類(例如:社會新聞、即時新聞、氣象、體育新聞、國際新聞、政治新聞、交通資訊、專題報導)【B5答0者,與此選項互斥】【資料處理:B5答0.5~7天,選項(01)必選】 □ (02)生活消費類(例如:觀光旅遊、美食烹飪、消費購物) □ (03)戲劇電影(例如:戲劇、電影、影集) □ (04)綜藝娛樂(例如:綜藝、音樂歌唱、影視娛樂、益智競賽、舞蹈) □ (05)家庭體育醫藥(例如:體育節目、醫療衛生保健、家庭生活) □ (06"
vG3,G3,match,,33,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,88",,,2,1,88,33,2,"97,98",,32,97,98,,,,"G3‧請問您經常看哪幾份紙本報紙?(可多選) (卡22) 【A09答(01)者,或G1答0者,不需回答此題】 □ (01)自由時報 □ (02)聯合報 □ (03)中國時報 □ (04)經濟日報 □ (05)工商時報 □ (06)更生日報(花蓮、臺東縣) □ (07)人間福報 □ (08)大紀元時報 □ (09)中華日報(臺南市) □ (10)國語日報 □ (11)旺報 □ (12)臺灣時報(高雄市) □ (13)青年日報 □ (14)Taipei Times □ (15)電子時報 □ (16)Taiwan News □ (18)台灣新生報 □ (19)China Post □ (20)馬祖日報 □ (21)金門日報 □ (22)民眾日報(高雄市) □ (23)台中時報(臺中市) □ (24"
vF5,F5,match,,9,"1,2,3,4,5,6,7,8,88,97,98","1,2,3,4,5,6,7,8,88",,,2,1,88,9,2,"97,98",,8,97,98,,,,"F5‧您看雜誌(包含紙本和網路雜誌)時,經常看下列哪幾種內容?(可多選) (卡23) 【F0答(90)、(97)、(98)者,不需回答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有看特定雜誌但不知道要選哪類,則請在(88)其他欄位中填寫「該雜誌名稱」。 □ (01)新聞類(例如:社會新聞、頭版焦點、地方新聞、國際新聞、氣象、時事評論、政治新聞、交通資訊、大陸新聞) □ (02)生活消費類(例如:觀光旅遊、美食、消費購物、時尚流行趨勢、美妝、化妝、汽車) □ (03)綜藝娛樂(例如:影視娛樂、流行音樂歌曲、電玩、漫畫) □ (04)家庭體育醫藥(例如:醫療衛生保健、家庭生活、體育、寵物) □ (05)文化藝術類(例如:藝術文化、展覽資訊、設計/繪畫、居家/建"
vC3,C3,match,,12,"1,2,3,4,5,6,7,8,9,10,11,88,97,98","1,2,3,4,5,6,7,8,9,10,11,88",,,2,1,88,12,2,"97,98",,11,97,98,,,,"C3‧您聽廣播時經常聽或經常聽到以下哪幾種類型的節目?(可多選) (卡24)【C1答0者,不需回答此題】 訪員注意: 1.括號內只是舉例,若有符合括號內其中一項就可以選。 2.若有聽特定廣播節目但不知道要選哪類,則請在(88)其他欄位中填寫「該節目名稱」。 □ (01)新聞類(例如:社會新聞、即時新聞、氣象、交通服務、國際新聞、政治新聞) □ (02)生活消費類(例如:觀光旅遊、美食、消費購物、賣藥) □ (03)廣播劇 □ (04)綜藝娛樂(例如:流行音樂歌曲) □ (05)家庭體育醫藥(例如:醫療衛生保健、家庭生活、體育賽事轉播) □ (06)兒童節目 □ (07)文化藝術類(例如:古典音樂、傳統藝術、藝術文化、展覽資訊、設計/繪畫、藝術欣賞、表演藝術、命理、風水、占卜、宗教) □ (0"
vJB1,JB1,match,,13,"1,2,3,4,5,6,7,8,9,10,11,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,88,90",,,2,1,88,13,3,"90,97,98",,12,90,97,98,,,"JB1‧請問您認為目前臺灣電視新聞節目有下列哪些不好的地方,需要解決?(可多選)(卡26) 【B5答0者,不需答此題】 訪員注意: 1.各台同質性高(一窩蜂):不同台報導同樣新聞。 2.一直重複報導相同內容:同一台重複報導一樣新聞。 □ (01)內容八卦(台語:探聽公眾人物的私生活) □ (02)內容聳動(台語:新聞節目報導內容很hum) □ (03)內容商業化(置入特定廠商的產品等訊息) □ (04)各台同質性高(一窩蜂)(台語:很多台新聞節目內容攏港款) □ (05)不夠中立 □ (06)一直重複報導相同內容(台語:同一台,攏咧報已經報過的內容) □ (07)內容不實 □ (08)負面新聞居多(例如:報導殺人放火或偷竊等的新聞比較多) □ (09)缺乏國際新聞 □ (10)不夠深入 □ "
vJB2,JB2,match,,9,"1,2,3,4,5,6,7,88,90,97,98","1,2,3,4,5,6,7,88,90",,,2,1,88,9,3,"90,97,98",,8,90,97,98,,,"JB2‧那請問您認為目前台灣網路內容有哪些不好的地方,需要解決?(可多選)(卡27)【E1答(01)者,需回答此題】 訪員注意: 網路仇恨言論:在網路上針對某些族群特徵(例如:政治立場、性取向、宗教、種族等)而提出 的仇恨或歧視言論。 2. 網軍帶風向:政府、政黨或政治人物花錢找人在網路上發表評論,達到宣傳或抹黑的目的。 3. 名嘴帶風向、網紅帶風向:名嘴或網紅試圖引導主流意見,左右選民的想法。 4. 假新聞:指有人刻意虛構、故意流傳的錯誤新聞或消息,要來誤導大眾。 □ (01)網路言論藍綠(政治)對立 □ (02)網路充滿仇恨言論(如酸民) □ (03)網軍帶風向 □ (04)名嘴帶風向 □ (05)網紅帶風向 □ (06)假新聞 □ (07)網路一言堂(不同的想法會被圍剿)□ (88)其"
vM2,M2,match,,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88",,,2,1,88,17,2,"97,98",,16,97,98,,,,"M2‧請問您常常在玩的遊戲類型(包含App遊戲)有哪幾種呢?(可多選)(卡29)【M1答0者,不需回答此題】 □ (01)大型線上角色扮演遊戲(MMORPG)(例如:楓之谷、超異域公主連結、魔獸世界、天堂、RO仙境傳說) □ (02)單機角色扮演遊戲(RPG)(例如:仙劍奇俠傳、軒轅劍) □ (03)射擊遊戲(例如:虹彩六號、絕地求生、APEX英雄、鬥陣特攻) □ (04)動作冒險遊戲(例如:原神、薩爾達傳說、魔物獵人、超級瑪利歐奧德賽) □ (05)格鬥遊戲(例如:快打旋風、格鬥天王) □ (06)休閒益智遊戲(例如:Candy Crush糖果傳奇、消消大作戰、Find Out尋找隱藏物品、知識王) □ (07)賽車類遊戲(例如:極速領域、跑跑卡丁車Rush+、狂野飆車、瑪利歐賽車巡迴賽)"
vM3,M3,match,,14,"1,2,3,4,5,6,7,8,9,10,11,12,13,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,88",,,2,1,88,14,2,"97,98",,13,97,98,,,,"M3‧請問您玩電玩遊戲的主要原因或動機是什麼呢?(可多選)【訪員讀題完畢後,請將平板轉給受訪者選擇,並由訪員協助點選】【不顯示選項編號,選項(01)-(13)隨機出現】【M1答0者,不需回答此題】 □ (01)享受和別人競爭的感覺(例如:想挑戰他人、挑釁他人、贏過他人) □ (02)發現新的事物(例如:探索世界、獲得知識、了解未知事物) □ (03)讓我扮演其他角色(例如:設計不同故事情節、扮演不同歷史角色、設定不同角色、 進入幻想世界) □ (04)逃避事情(例如:忘記煩惱、逃避日常生活) □ (05)讓我跟朋友互動(例如:聊天、幫助他人、交朋友) □ (06)讓我增進遊戲表現(例如:加快遊戲進度、累積經驗、提升等級) □ (07)讓我有良好的人際關係(例如:與朋友更親近、分享自己的資訊、"
vM4s,M4S,review,question block not found,3,,"4,5,6","4,5,6",,2,4,6,3,0,,,2,,,,,,
vQ20,Q20,match,,8,"1,2,3,4,5,6,88,90,97,98","1,2,3,4,5,6,88,90",,,2,1,88,8,3,"90,97,98",90,7,90,97,98,,,"Q20.除了新聞,請問您平常還會用哪種方式獲得政治或公共事務相關訊息?(可多選)(卡42) □(01)談話性政論節目(不論是從電視或YouTube上觀看都算)【B1答0,且B3答0,且E1答(02)者,與選項(01)互斥】 □(02)政治人物(是指透過他們YouTube頻道、臉書粉專、IG帳號上的貼文、直播和預錄影片)【E1答(02)者,與選項(02)互斥】 □(03)網紅或公眾人物影片(是指從他們YouTube頻道、臉書粉專、IG帳號、直播與直播結束後的留存影片都算)【E1答(02)者,與選項(03)互斥】 □(04)播客(Podcast)的節目【E1答(02)者,與選項(04)互斥】 □(05)論壇的文章或留言(例如:PTT或Dcard)【E1答(02)者,與選項(05)互斥】 □(06"
vQ25,Q25,match,,32,"1,12,23,2,13,24,3,14,25,4,15,26,5,16,27,6,17,28,7,18,29,8,19,30,9,20,31,10,21,88,11,22,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,88",,,2,1,88,32,2,"97,98",,31,97,98,,,,"Q25 請問您最常透過哪些談話性政論節目獲得政治或公共事務相關訊息?(可多選)【Q20答(01)者,需回答此題】 (卡43) 標註星號*者由網路播出 □(01)新聞面對面(謝震武) □(12)新台派上線 □(23) 國民大會 □(02)關鍵時刻(張炤和) □(13)前進新台灣(王偊菁) □(24) 新聞大破解 □(03)少康戰情室(趙少康) □(14)寰宇全視界(岑永康/何戎) □(25) TVBS 戰情室 □(04)年代向錢看(陳凝觀) □(15)全球大爆卦 □(26) 全國第一勇 □(05)57 爆新聞 □(16)庶民大頭家(哈遠儀) □(27)大新聞大爆卦(馬千惠)* 【E1答(02)者選項互斥】 □(06)新台灣加油(許貴雅) □(17) 94 要客訴 □(28)頭條開講(周玉琴)*"
vQ22,Q22,match,,41,"1,11,21,31,2,12,22,32,3,13,23,33,4,14,24,34,5,15,25,35,6,16,26,36,7,17,27,37,8,18,28,38,9,19,29,39,10,20,30,40,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,88",,,2,1,88,41,2,"97,98",,40,97,98,,,,"Q22 在以下經常談論政治或公共事務的政治人物中,請問您最常觀看誰的影片或貼文?(是指透過政治人物YouTube頻道、臉書粉專、IG帳號上的貼文、直播和預錄影片)(可多選) 【Q20答(02)者,需回答此題】(卡44) □(01) 傅崐萁 □(11) 林佳龍 □(21) 顧立雄 □(31) 陳亭妃 □(02) 王世堅 □(12) 洪孟楷 □(22) 吳思瑤 □(32) 蔡英文 □(03) 郝龍斌 □(13) 柯志恩 □(23) 陳其邁 □(33) 蔣萬安 □(04) 王鴻薇 □(14) 侯友宜 □(24) 王義川 □(34) 賴瑞隆 □(05) 朱立倫 □(15) 柯文哲 □(25) 陳時中 □(35) 鄭麗文 □(06) 卓榮泰 □(16) 蔡正元 □(26) 邱議瑩 □(36) 盧秀燕 "
vQ23,Q23,match,,28,"1,16,2,17,3,18,4,19,5,20,6,21,7,22,8,23,9,24,10,25,11,26,12,27,13,88,14,97,15,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,88",,,2,1,88,28,2,"97,98",,27,97,98,,,,"Q23在以下經常談論政治或公共事務的網紅或公眾人物中,請問您最常觀看誰的影片?(可多選) (卡45)【Q20答(03)者,需回答此題】 □(01) 葉式特工 Yes Ranger □(16) TaiwanTalks4 □(02) 志祺七七 X 圖文不符 □(17) 鼻地大師國動-張葦航 □(03) Bit King比特王出任務 □(18) 白同學DIY教室 □(04) 館長惡名昭彰 □(19) 勾起你心中的惡 □(05) 監督GOGO □(20) 鈞鈞 □(06) 百靈果News □(21) 我是柳傑克 □(07) 世界看台灣 □(22) 蒟蒻講幹話 □(08) 筱君台灣PLUS □(23) Taiwan Bar □(09) 卡提諾狂新聞 □(24) 峰哥Fege □(10) 老天鵝娛樂 □"
vQ26,Q26,match,,30,"1,17,2,18,3,19,4,20,5,21,6,22,7,23,8,24,9,25,10,26,11,27,12,28,13,29,14,88,15,97,16,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,88",,,2,1,88,30,2,"97,98",,29,97,98,,,,"Q26除了新聞,您最常透過哪些播客(Podcast)節目獲得政治或公共事務相關資訊?(可多選)(卡46)【Q20答(04)者,需回答此題】 □(01) 下班瀚你聊 □(17) 世界忙什麼? The World in 5 Mins 留學忙什麼? □(02) 聽天下:天下雜誌Podcast □(18) 氣候戰役在台灣 □(03)法客電台 BY 法律白話文運動 Plain Law Movement □(19) 台灣國際報 □(04) 敏迪選讀 □(20) 中東新聞 □(05) 轉角國際新聞Daily Podcast □(21) 春風華語.聚焦台灣 □(06) 全球串連早安新聞|Morning Taiwan Glocal News □(22) 楊式頭殼YANG's TALK □(07) 《The "
vQ27,Q27,match,,8,"1,2,3,4,5,6,7,88,97,98","1,2,3,4,5,6,7,88",,,2,1,88,8,2,"97,98",,7,97,98,,,,"Q27請問您想要獲得政治或公共事務相關訊息的原因是什麼?(可多選)(卡47)【Q1、Q2、Q3、Q4答(01),且Q5、Q10、Q15答(02),且Q20回答(90)者,不需回答此題】 □(01)想要了解國內外大事 □(02)這是一個公民應該做的事 □(03)想了解不同的觀點 □(04)習慣 □(05)想看到更多跟您立場相同的觀點 □(06)想要有話題與親朋好友聊 □(07)想要知道大家對於當下議題的看法 □(88)其他,請說明_____ □(97)不知道 □(98)拒答"
vQ30,Q30,match,,9,"1,2,3,4,5,6,7,8,90,97,98","1,2,3,4,5,6,7,8,90",,,2,1,8,9,3,"90,97,98",90,8,90,97,98,,,"Q30‧接下來,要請問您最近一年以來,有沒有做過和「政治或公共事務」議題相關的活動,會分別從「網路上」和「不是網路上」(包含面對面、打電話等)詢問。 首先針對「網路上」來詢問,請問您最近一年有沒有在網路上做過這些和「政治或公共事務」議題相關的活動?(可多選)(卡50) 【E1答(01)者,需回答此題】 □(01)在社群媒體上加入政治或社區的社團或群組(例如:賴清德總統後援會、侯友宜粉絲後援團等) □(02)在地方首長或鄰里長的首長信箱或粉專反映社區問題或提出建議 □(03)出於政治、道德或環境原因在社群媒體上抵制某些產品,包含取消關注、拒看、或是留言發文指責 □(04)透過手機app捐款給政黨、候選人或政治相關活動 □(05)觀看政治相關集會(例如:造勢晚會)的網路直播 □(06)觀看社區或"
vQ31,Q31,match,,9,"1,2,3,4,5,6,7,8,90,97,98","1,2,3,4,5,6,7,8,90",,,2,1,8,9,3,"90,97,98",90,8,90,97,98,,,"Q31‧接下來針對「不是網路上」的情形詢問,請問您最近一年有沒有做過這些和「政治或公共事務」議題相關的活動?(可多選)(卡51) □(01)實體加入政治或社區的社團或組織成為會員(例如:政治人物後援會) □(02)向地方首長或鄰里長反映社區問題或提出建議 □(03)出於政治、道德或環境原因抵制或購買某些產品 □(04)參加政黨、候選人或政治相關的募款活動 □(05)參加政治相關集會(例如:造勢晚會) □(06)參加社區或公民團體集會與活動 □(07)動員其他人投票給支持的候選人 □(08)動員其他人參與連署、公投、罷免、集體行動 □(90)都沒有【與選項(01)-(08)者互斥】 □(97)不知道 □(98)拒答"
vZE2,ZE2,match,,3,"1,2,3","1,2,3",,,2,1,3,3,0,,3,2,,,,,,"ZE2‧為持續瞭解民眾對傳播媒體、新興媒體及時事議題的看法,未來想繼續邀請您填答我們的網路追蹤問卷。若您現在同意參加,可立即獲得新臺幣100元超商商品卡;未來實際完成問卷填答後,也會另外再贈送超商商品卡做為回饋。您提供的聯絡資料僅供研究聯繫使用,並會依法妥善保管。詳細內容,請參考這份同意書說明。(請訪員拿出追蹤同意書)【A09選(01)者,或E1選(02)、(97)、(98),不需回答此題】(可多選) 請問您未來是否願意接受本計畫的網路問卷填答邀請? 受訪者編號:【貼題:受訪者編號】(請訪員填在同意書上方,共二處) (01) 願意,提供手機號碼【D1答(03)者,與選項(02)互斥】【續答ZE2_2】 (02) 願意,提供Email【續答ZE2_3】 (03) 不願意【與選項(01)-(02"
